entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,package_count,task_duration_mins
RoboPack-3,position_poll,position,23.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,23.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,23.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,23.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,23.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,23.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,24.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,24.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,24.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,24.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,24.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,24.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,24.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,24.0,,,,,415.0,300.0,,
RoboPack-8,queue,maintenance,24.9,,,,,600.0,300.0,,4.0
RoboPack-1,position_poll,position,25.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,25.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,25.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,25.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,25.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,25.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,25.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,25.0,,,,,600.0,300.0,,
RoboPack-2,queue,packing,25.35,,,,,285.0,270.0,,
RoboPack-1,position_poll,position,26.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,26.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,26.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,26.0,,,,,415.0,270.0,,
RoboPack-5,position_poll,position,26.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,26.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,26.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,26.0,,,,,600.0,300.0,,
RoboPack-1,position_poll,position,27.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,27.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,27.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,27.0,,,,,515.0,270.0,,
RoboPack-5,position_poll,position,27.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,27.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,27.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,27.0,,,,,600.0,300.0,,
RoboPack-1,position_poll,position,28.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,28.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,28.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,28.0,,,,,550.0,270.0,,
RoboPack-5,position_poll,position,28.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,28.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,28.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,28.0,,,,,600.0,300.0,,
RoboPack-5,queue,packing,28.7,,,,,270.0,300.0,,
RoboPack-1,position_poll,position,29.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,29.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,29.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,29.0,,,,,550.0,370.0,,
RoboPack-5,position_poll,position,29.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,29.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,29.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,29.0,,,,,600.0,300.0,,
RoboPack-1,position_poll,position,30.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,30.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,30.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,30.0,,,,,550.0,500.0,,
RoboPack-5,position_poll,position,30.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,30.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,30.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,30.0,,,,,500.0,300.0,,
RoboPack-1,position_poll,position,31.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,31.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,31.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,31.0,,,,,550.0,400.0,,
RoboPack-5,position_poll,position,31.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,31.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,31.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,31.0,,,,,400.0,300.0,,
RoboPack-1,position_poll,position,32.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,32.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,32.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,32.0,,,,,550.0,270.0,,
RoboPack-5,position_poll,position,32.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,32.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,32.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,32.0,,,,,300.0,300.0,,
RoboPack-1,position_poll,position,33.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,33.0,,,,,180.0,270.0,,
RoboPack-3,position_poll,position,33.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,33.0,,,,,450.0,270.0,,
RoboPack-5,position_poll,position,33.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,33.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,33.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,33.0,,,,,300.0,300.0,,
RoboPack-7,queue,packing,33.4,,,,,300.0,300.0,,
RoboPack-1,position_poll,position,34.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,34.0,,,,,180.0,170.0,,
RoboPack-3,position_poll,position,34.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,34.0,,,,,350.0,270.0,,
RoboPack-5,position_poll,position,34.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,34.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,34.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,34.0,,,,,300.0,300.0,,
RoboPack-4,queue,pickup_4,34.7,,,,,315.0,270.0,1.0,
RoboPack-1,position_poll,position,35.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,35.0,,,,,180.0,100.0,,
RoboPack-3,position_poll,position,35.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,35.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,35.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,35.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,35.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,35.0,,,,,300.0,300.0,,
RoboPack-1,position_poll,position,36.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,36.0,,,,,180.0,270.0,,
RoboPack-3,position_poll,position,36.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,36.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,36.0,,,,,170.0,300.0,,
RoboPack-6,position_poll,position,36.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,36.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,36.0,,,,,300.0,300.0,,
RoboPack-8,queue,packing,36.30000000000005,,,,,315.0,300.0,,
RoboPack-2,queue,pickup_6,36.7,,,,,285.0,270.0,2.0,
RoboPack-1,position_poll,position,37.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,37.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,37.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,37.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,37.0,,,,,70.0,300.0,,
RoboPack-6,position_poll,position,37.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,37.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,37.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,38.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,38.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,38.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,38.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,38.0,,,,,70.0,400.0,,
RoboPack-6,position_poll,position,38.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,38.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,38.0,,,,,315.0,300.0,,
RoboPack-1,queue,packing,38.6,,,,,270.0,270.0,,
RoboPack-1,position_poll,position,39.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,39.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,39.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,39.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,39.0,,,,,70.0,500.0,,
RoboPack-6,position_poll,position,39.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,39.0,,,,,400.0,300.0,,
RoboPack-8,position_poll,position,39.0,,,,,315.0,300.0,,
RoboPack-4,queue,packing,39.7,,,,,315.0,270.0,,
RoboPack-1,position_poll,position,40.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,40.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,40.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,40.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,40.0,,,,,70.0,400.0,,
RoboPack-6,position_poll,position,40.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,40.0,,,,,550.0,300.0,,
RoboPack-8,position_poll,position,40.0,,,,,315.0,300.0,,
RoboPack-3,queue,packing,40.7,,,,,300.0,270.0,,
RoboPack-1,position_poll,position,41.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,41.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,41.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,41.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,41.0,,,,,70.0,300.0,,
RoboPack-6,position_poll,position,41.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,41.0,,,,,550.0,400.0,,
RoboPack-8,position_poll,position,41.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,42.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,42.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,42.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,42.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,42.0,,,,,70.0,270.0,,
RoboPack-6,position_poll,position,42.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,42.0,,,,,550.0,500.0,,
RoboPack-8,position_poll,position,42.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,43.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,43.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,43.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,43.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,43.0,,,,,170.0,270.0,,
RoboPack-6,position_poll,position,43.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,43.0,,,,,550.0,400.0,,
RoboPack-8,position_poll,position,43.0,,,,,315.0,300.0,,
RoboPack-5,queue,pickup_3,43.0,,,,,270.0,300.0,3.0,
RoboPack-1,position_poll,position,44.0,,,,,370.0,270.0,,
RoboPack-2,position_poll,position,44.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,44.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,44.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,44.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,44.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,44.0,,,,,550.0,300.0,,
RoboPack-8,position_poll,position,44.0,,,,,315.0,300.0,,
RoboPack-6,queue,pickup_5,44.05000000000039,,,,,269.99999999999994,270.0,1.0,
RoboPack-1,position_poll,position,45.0,,,,,370.0,170.0,,
RoboPack-2,position_poll,position,45.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,45.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,45.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,45.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,45.0,,,,,269.99999999999994,270.0,,
RoboPack-7,position_poll,position,45.0,,,,,550.0,270.0,,
RoboPack-8,position_poll,position,45.0,,,,,315.0,300.0,,
