entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
Car 66,resource_use,pumping_begins,16456.0,,,,1.0
Car 64,resource_use_end,pumping_ends,16461.0,,,,2.0
Car 64,arrival_departure,depart,16461.0,,,,
Car 67,resource_use,pumping_begins,16461.0,,,,2.0
Car 66,resource_use_end,pumping_ends,16471.5,,,,1.0
Car 66,arrival_departure,depart,16471.5,,,,
Car 68,resource_use,pumping_begins,16471.5,,,,1.0
Car 67,resource_use_end,pumping_ends,16479.5,,,,2.0
Car 67,arrival_departure,depart,16479.5,,,,
Car 69,resource_use,pumping_begins,16479.5,,,,2.0
Call 12,arrival_departure,arrival,16480.0,,,,
Call 12,queue,calling_truck,16480.0,,,,
Car 68,resource_use_end,pumping_ends,16491.5,,,,1.0
Car 68,arrival_departure,depart,16491.5,,,,
Car 70,resource_use,pumping_begins,16491.5,,,,1.0
Car 101,arrival_departure,arrival,16587.0,,,,
Car 101,queue,pump_queue_wait_begins,16587.0,,,,
Car 102,arrival_departure,arrival,16759.0,,,,
Car 102,queue,pump_queue_wait_begins,16759.0,,,,
Call 12,arrival_departure,depart,16780.0,,,,
Truck 12,arrival_departure,arrival,16780.0,,,,
Truck 12,queue,refueling,16780.0,,,,
Car 103,arrival_departure,arrival,16898.0,,,,
Car 103,queue,pump_queue_wait_begins,16898.0,,,,
Car 104,arrival_departure,arrival,16995.0,,,,
Car 104,queue,pump_queue_wait_begins,16995.0,,,,
Car 105,arrival_departure,arrival,17267.0,,,,
Car 105,queue,pump_queue_wait_begins,17267.0,,,,
Car 106,arrival_departure,arrival,17539.0,,,,
Car 106,queue,pump_queue_wait_begins,17539.0,,,,
Car 107,arrival_departure,arrival,17666.0,,,,
Car 107,queue,pump_queue_wait_begins,17666.0,,,,
Car 108,arrival_departure,arrival,17745.0,,,,
Car 108,queue,pump_queue_wait_begins,17745.0,,,,
Truck 12,arrival_departure,depart,17780.0,,,,
Car 70,resource_use_end,pumping_ends,17792.5,,,,1.0
Car 70,arrival_departure,depart,17792.5,,,,
Car 71,resource_use,pumping_begins,17792.5,,,,1.0
Car 69,resource_use_end,pumping_ends,17801.0,,,,2.0
Car 69,arrival_departure,depart,17801.0,,,,
Car 72,resource_use,pumping_begins,17801.0,,,,2.0
Car 71,resource_use_end,pumping_ends,17805.5,,,,1.0
Car 71,arrival_departure,depart,17805.5,,,,
Car 73,resource_use,pumping_begins,17805.5,,,,1.0
