,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
346,Car 68,resource_use_end,carwashing_ends,451.0,,,,1.0
347,Car 68,arrival_departure,depart,451.0,,,,
348,Car 69,resource_use_end,carwashing_ends,456.0,,,,2.0
349,Car 69,arrival_departure,depart,456.0,,,,
350,Car 70,arrival_departure,arrival,459.0,,,,
351,Car 70,queue,carwash_queue_wait_begins,459.0,,,,
352,Car 70,resource_use,carwashing_begins,459.0,,,,1.0
353,Car 70,resource_use_end,carwashing_ends,464.0,,,,1.0
354,Car 70,arrival_departure,depart,464.0,,,,
355,Car 71,arrival_departure,arrival,468.0,,,,
356,Car 71,queue,carwash_queue_wait_begins,468.0,,,,
357,Car 71,resource_use,carwashing_begins,468.0,,,,2.0
358,Car 72,arrival_departure,arrival,473.0,,,,
359,Car 72,queue,carwash_queue_wait_begins,473.0,,,,
360,Car 72,resource_use,carwashing_begins,473.0,,,,1.0
361,Car 71,resource_use_end,carwashing_ends,473.0,,,,2.0
362,Car 71,arrival_departure,depart,473.0,,,,
363,Car 72,resource_use_end,carwashing_ends,478.0,,,,1.0
364,Car 72,arrival_departure,depart,478.0,,,,
365,Car 73,arrival_departure,arrival,482.0,,,,
366,Car 73,queue,carwash_queue_wait_begins,482.0,,,,
