entity_id,pathway,event_type,event,time,resource_id,run,activity_id,lifecycle_id
117,Simplest,queue,treatment_wait_begins,665.9543726555679,,0,184,complete
68,Simplest,resource_use,treatment_begins,665.9543726555679,1.0,0,185,start
68,Simplest,resource_use,treatment_begins,666.9891703600102,1.0,0,185,complete
118,Simplest,queue,treatment_wait_begins,666.9891703600102,,0,186,start
118,Simplest,queue,treatment_wait_begins,671.4345452930189,,0,186,complete
119,Simplest,queue,treatment_wait_begins,671.4345452930189,,0,187,start
119,Simplest,queue,treatment_wait_begins,673.455654681682,,0,187,complete
69,Simplest,resource_use,treatment_begins,673.455654681682,3.0,0,188,start
69,Simplest,resource_use,treatment_begins,673.7120371886078,3.0,0,188,complete
120,Simplest,queue,treatment_wait_begins,673.7120371886078,,0,189,start
120,Simplest,queue,treatment_wait_begins,674.6378607341733,,0,189,complete
121,Simplest,queue,treatment_wait_begins,674.6378607341733,,0,190,start
121,Simplest,queue,treatment_wait_begins,677.8431245603726,,0,190,complete
122,Simplest,queue,treatment_wait_begins,677.8431245603726,,0,191,start
122,Simplest,queue,treatment_wait_begins,679.3692982378298,,0,191,complete
