,patient,pathway,event_type,event,time,resource_id,run
336,101,1,resource_use,treatment_begins,468.8051197255543,2.0,1
337,103,2,arrival_departure,arrival,469.98325248581716,,1
338,103,2,queue,treatment_wait_begins,469.98325248581716,,1
339,104,1,arrival_departure,arrival,480.21541411148286,,1
340,104,1,queue,treatment_wait_begins,480.21541411148286,,1
341,35,2,resource_use_end,treatment_complete,480.39774410631543,3.0,1
342,35,2,arrival_departure,depart,480.39774410631543,,1
343,104,1,resource_use,treatment_begins,480.39774410631543,3.0,1
344,37,2,resource_use_end,treatment_complete,483.7222797172585,4.0,1
345,37,2,arrival_departure,depart,483.7222797172585,,1
346,39,2,resource_use,treatment_begins,483.7222797172585,4.0,1
347,105,2,arrival_departure,arrival,485.8048746056908,,1
348,105,2,queue,treatment_wait_begins,485.8048746056908,,1
349,38,2,resource_use_end,treatment_complete,486.35574841702277,1.0,1
350,38,2,arrival_departure,depart,486.35574841702277,,1
351,41,2,resource_use,treatment_begins,486.35574841702277,1.0,1
352,106,2,arrival_departure,arrival,495.05787658119004,,1
353,106,2,queue,treatment_wait_begins,495.05787658119004,,1
354,107,2,arrival_departure,arrival,498.6925299990245,,1
355,107,2,queue,treatment_wait_begins,498.6925299990245,,1
356,108,2,arrival_departure,arrival,504.0317762790293,,1
357,108,2,queue,treatment_wait_begins,504.0317762790293,,1
358,109,2,arrival_departure,arrival,505.93287070980404,,1
359,109,2,queue,treatment_wait_begins,505.93287070980404,,1
360,110,2,arrival_departure,arrival,507.0281413685315,,1
361,110,2,queue,treatment_wait_begins,507.0281413685315,,1
362,101,1,resource_use_end,treatment_complete,513.0453259889181,2.0,1
363,101,1,arrival_departure,depart,513.0453259889181,,1
364,42,2,resource_use,treatment_begins,513.0453259889181,2.0,1
365,111,2,arrival_departure,arrival,517.7527282881473,,1
366,111,2,queue,treatment_wait_begins,517.7527282881473,,1
367,112,2,arrival_departure,arrival,518.4542430979986,,1
368,112,2,queue,treatment_wait_begins,518.4542430979986,,1
369,113,1,arrival_departure,arrival,519.393738073051,,1
370,113,1,queue,treatment_wait_begins,519.393738073051,,1
371,114,2,arrival_departure,arrival,520.9449467609295,,1
372,114,2,queue,treatment_wait_begins,520.9449467609295,,1
373,104,1,resource_use_end,treatment_complete,521.2094333460852,3.0,1
